Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Dry Fork 1SE,ND-NW,22 Aug 09:40 CDT,64°,ESE,6 mph,10 mph,65 %,52°,57°,7°,-2°,-4°,63°,63°,379 W/m²,1025.4 mb,"0.02""","0.00""","0.00""",65° (09:35),47° (06:09),17 mph (04:02),2026-08-22T14:43:57.076250
Dublin 2SW,ND-NW,22 Aug 09:40 CDT,67°,ESE,8 mph,14 mph,56 %,51°,57°,10°,---,-1°,64°,65°,390 W/m²,---,"0.02""","0.00""","0.00""",67° (09:40),49° (06:50),14 mph (09:35),2026-08-22T14:43:57.076250
Dunn 1SW,ND-WC,22 Aug 09:40 CDT,62°,ENE,5 mph,7 mph,72 %,53°,56°,5°,---,-3°,65°,65°,375 W/m²,---,"0.00""","0.00""","0.00""",62° (09:40),47° (04:35),7 mph (09:36),2026-08-22T14:43:57.076250
Edgeley 4SW,ND-SE,22 Aug 09:40 CDT,64°,NNE,5 mph,7 mph,75 %,56°,59°,5°,0°,-2°,65°,65°,431 W/m²,1024.2 mb,"0.00""","0.00""","0.00""",64° (09:40),52° (06:34),9 mph (08:47),2026-08-22T14:43:57.076250
Edmore 3NW,ND-NE,22 Aug 09:40 CDT,62°,N,3 mph,4 mph,77 %,55°,58°,4°,---,-2°,61°,61°,457 W/m²,---,"0.00""","0.00""","0.00""",62° (09:40),50° (07:04),9 mph (01:05),2026-08-22T14:43:57.076250
Ekre,ND-SE,22 Aug 09:40 CDT,65°,NNE,6 mph,9 mph,71 %,56°,59°,6°,---,-2°,68°,67°,446 W/m²,---,"0.00""","0.00""","0.00""",65° (09:39),55° (06:49),10 mph (08:39),2026-08-22T14:43:57.076250
Elbow Lake 2S,MN-WC,22 Aug 09:40 CDT,67°,NNE,2 mph,6 mph,74 %,59°,62°,5°,-1°,-5°,66°,67°,470 W/m²,1021.5 mb,"0.00""","0.00""","0.00""",67° (09:38),57° (06:34),8 mph (09:26),2026-08-22T14:43:57.076250
Eldred 2W,MN-NW,22 Aug 09:40 CDT,65°,N,7 mph,10 mph,73 %,56°,59°,5°,---,-1°,68°,66°,428 W/m²,---,"0.00""","0.00""","0.00""",65° (09:39),51° (06:43),11 mph (08:37),2026-08-22T14:43:57.076250
Elgin 10NW,ND-SC,22 Aug 09:40 CDT,66°,ENE,4 mph,5 mph,64 %,53°,58°,8°,-1°,-2°,63°,64°,362 W/m²,1026.2 mb,"0.00""","0.00""","0.00""",66° (09:38),47° (06:06),7 mph (02:35),2026-08-22T14:43:57.076250
Elkton 5S,MN-SE,22 Aug 09:40 CDT,68°,N,9 mph,13 mph,77 %,61°,63°,5°,-1°,-2°,65°,68°,511 W/m²,1019.2 mb,"0.00""","0.00""","0.00""",68° (09:39),54° (06:43),13 mph (09:18),2026-08-22T14:43:57.076250
